Episode,Number of Falls
1,0
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,1
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,3
32,4
33,4
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,5
42,5
43,6
44,6
45,6
46,6
47,6
48,6
49,6
50,6
51,6
52,6
53,7
54,7
55,8
56,8
57,9
58,9
59,10
60,11
61,11
62,12
63,12
64,12
65,12
66,12
67,13
68,13
69,13
70,13
71,14
72,14
73,14
74,15
75,16
76,16
77,16
78,16
79,16
80,16
81,16
82,16
83,16
84,16
85,16
86,16
87,17
88,17
89,17
90,18
91,18
92,18
93,18
94,18
95,19
96,19
97,19
98,19
99,19
100,19
101,19
102,20
103,21
104,21
105,22
106,23
107,23
108,23
109,24
110,25
111,26
112,27
113,27
114,27
115,27
116,27
117,27
118,27
119,28
120,28
121,29
122,29
123,29
124,30
125,30
126,30
127,30
128,31
129,32
130,32
131,32
132,32
133,32
134,32
135,33
136,34
137,34
138,35
139,35
140,35
141,35
142,35
143,36
144,37
145,37
146,37
147,38
148,39
149,39
150,40
151,41
152,41
153,41
154,41
155,41
156,41
157,41
158,42
159,42
160,42
161,42
162,42
163,42
164,43
165,43
166,43
167,43
168,43
169,44
170,44
171,44
172,44
173,44
174,44
175,44
176,45
177,45
178,45
179,45
180,45
181,45
182,46
183,46
184,46
185,46
186,47
187,47
188,47
189,47
190,47
191,47
192,47
193,47
194,47
195,48
196,48
197,49
198,49
199,50
200,50
201,50
202,50
203,51
204,51
205,51
206,51
207,51
208,51
209,51
210,51
211,51
212,52
213,52
214,52
215,52
216,52
217,52
218,52
219,52
220,52
221,52
222,52
223,53
224,53
225,53
226,53
227,53
228,53
229,53
230,54
231,54
232,54
233,54
234,54
235,54
236,54
237,55
238,55
239,55
240,55
241,55
242,55
243,55
244,55
245,55
246,56
247,56
248,57
249,57
250,57
251,57
252,57
253,57
254,57
255,57
256,57
257,57
258,57
259,57
260,57
261,57
262,58
263,58
264,58
265,59
266,59
267,60
268,60
269,60
270,60
271,60
272,60
273,61
274,61
275,61
276,61
277,62
278,62
279,62
280,62
281,63
282,63
283,63
284,63
285,63
286,64
287,64
288,64
289,64
290,64
291,64
292,64
293,64
294,64
295,65
296,66
297,66
298,66
299,66
300,66
301,66
302,66
303,66
304,66
305,66
306,66
307,66
308,66
309,66
310,66
311,67
312,67
313,67
314,67
315,67
316,67
317,67
318,68
319,68
320,68
321,68
322,68
323,68
324,68
325,68
326,68
327,68
328,69
329,69
330,69
331,69
332,69
333,69
334,70
335,70
336,70
337,70
338,71
339,71
340,71
341,71
342,71
343,71
344,71
345,71
346,71
347,71
348,71
349,71
350,71
351,71
352,71
353,71
354,71
355,71
356,71
357,71
358,71
359,71
360,71
361,71
362,72
363,72
364,72
365,73
366,73
367,73
368,73
369,74
370,74
371,74
372,74
373,74
374,74
375,74
376,74
377,74
378,74
379,74
380,75
381,75
382,75
383,75
384,76
385,76
386,76
387,76
388,76
389,76
390,76
391,76
392,76
393,76
394,76
395,76
396,76
397,76
398,76
399,76
400,76
401,76
402,76
403,76
404,76
405,76
406,77
407,78
408,78
409,78
410,78
411,79
412,80
413,80
414,80
415,81
416,81
417,81
418,81
419,82
420,82
421,82
422,83
423,83
424,83
425,83
426,83
427,83
428,83
429,84
430,84
431,84
432,84
433,84
434,84
435,84
436,84
437,84
438,84
439,84
440,84
441,84
442,84
443,84
444,84
445,84
446,84
447,84
448,84
449,84
450,84
451,84
452,84
453,84
454,84
455,85
456,85
457,85
458,85
459,85
460,85
461,85
462,85
463,85
464,85
465,85
466,85
467,85
468,85
469,85
470,85
471,85
472,85
473,85
474,85
475,85
476,86
477,87
478,87
479,87
480,87
481,87
482,87
483,87
484,87
485,87
486,88
487,88
488,88
489,88
490,88
491,88
492,88
493,88
494,88
495,88
496,88
497,88
498,88
499,88
500,88
501,88
502,88
503,88
504,89
505,89
506,89
507,89
508,89
509,89
510,89
511,90
512,90
513,90
514,90
515,90
516,90
517,90
518,91
519,91
520,91
521,91
522,91
523,92
524,92
525,92
526,92
527,92
528,92
529,92
530,92
531,92
532,92
533,92
534,92
535,92
536,92
537,92
538,92
539,92
540,92
541,92
542,93
543,93
544,93
545,93
546,93
547,93
548,93
549,93
550,93
551,94
552,94
553,94
554,94
555,95
556,95
557,95
558,95
559,95
560,95
561,95
562,95
563,95
564,95
565,95
566,95
567,95
568,95
569,95
570,95
571,95
572,96
573,97
574,98
575,98
576,98
577,98
578,98
579,98
580,98
581,98
582,98
583,98
584,98
585,98
586,98
587,98
588,98
589,98
590,98
591,98
592,98
593,98
594,98
595,99
596,99
597,100
598,100
599,100
600,101
601,101
602,101
603,102
604,102
605,102
606,102
607,102
608,102
609,102
610,102
611,102
612,102
613,102
614,102
615,102
616,102
617,102
618,102
619,102
620,102
621,102
622,102
623,102
624,102
625,102
626,102
627,102
628,102
629,102
630,102
631,102
632,102
633,102
634,102
635,102
636,102
637,102
638,102
639,102
640,102
641,103
642,103
643,103
644,103
645,103
646,103
647,103
648,103
649,104
650,104
651,104
652,104
653,104
654,104
655,105
656,105
657,105
658,106
659,106
660,106
661,106
662,106
663,106
664,106
665,106
666,106
667,106
668,106
669,106
670,106
671,106
672,106
673,106
674,106
675,106
676,107
677,107
678,107
679,107
680,107
681,107
682,107
683,107
684,107
685,107
686,107
687,107
688,107
689,107
690,107
691,107
692,107
693,107
694,107
695,107
696,107
697,107
698,107
699,107
700,107
701,107
702,107
703,107
704,107
705,107
706,107
707,108
708,108
709,108
710,108
711,108
712,108
713,109
714,109
715,109
716,109
717,110
718,110
719,111
720,111
721,111
722,111
723,111
724,111
725,111
726,111
727,111
728,111
729,112
730,113
731,113
732,113
733,113
734,113
735,113
736,113
737,113
738,113
739,113
740,113
741,113
742,113
743,113
744,113
745,113
746,113
747,113
748,113
749,113
750,113
751,113
752,113
753,113
754,113
755,113
756,113
757,113
758,113
759,113
760,113
761,113
762,113
763,114
764,114
765,115
766,115
767,115
768,116
769,116
770,116
771,116
772,116
773,116
774,116
775,117
776,117
777,117
778,117
779,117
780,117
781,117
782,117
783,117
784,118
785,119
786,119
787,119
788,119
789,120
790,120
791,120
792,120
793,120
794,120
795,120
796,120
797,120
798,120
799,120
800,120
801,120
802,120
803,120
804,120
805,120
806,120
807,120
808,120
809,120
810,120
811,120
812,120
813,120
814,120
815,120
816,120
817,120
818,120
819,120
820,120
821,120
822,121
823,122
824,122
825,122
826,122
827,122
828,122
829,122
830,122
831,122
832,122
833,122
834,122
835,122
836,122
837,122
838,122
839,122
840,122
841,122
842,122
843,122
844,122
845,123
846,123
847,123
848,123
849,123
850,123
851,123
852,123
853,123
854,123
855,124
856,124
857,124
858,124
859,124
860,124
861,125
862,126
863,126
864,126
865,126
866,126
867,126
868,126
869,127
870,127
871,127
872,128
873,128
874,128
875,128
876,128
877,128
878,128
879,128
880,128
881,128
882,128
883,128
884,128
885,128
886,128
887,128
888,128
889,128
890,128
891,128
892,128
893,128
894,128
895,128
896,128
897,128
898,128
899,128
900,128
901,128
902,128
903,128
904,128
905,128
906,128
907,129
908,129
909,129
910,129
911,129
912,129
913,129
914,129
915,129
916,129
917,129
918,130
919,130
920,130
921,130
922,130
923,130
924,130
925,130
926,130
927,130
928,130
929,130
930,130
931,130
932,130
933,130
934,130
935,131
936,131
937,131
938,132
939,132
940,132
941,132
942,132
943,133
944,133
945,134
946,134
947,135
948,136
949,136
950,136
951,136
952,136
953,136
954,137
955,137
956,137
957,137
958,138
959,138
960,139
961,139
962,139
963,139
964,139
965,139
966,139
967,139
968,139
969,140
970,140
971,140
972,140
973,140
974,141
975,141
976,142
977,142
978,143
979,143
980,143
981,143
982,143
983,143
984,143
985,143
986,143
987,143
988,143
989,144
990,144
991,144
992,144
993,144
994,144
995,144
996,145
997,145
998,145
999,145
1000,145
1001,145
1002,145
1003,145
1004,145
1005,145
1006,145
1007,145
1008,145
1009,145
1010,145
1011,146
1012,147
1013,147
1014,147
1015,147
1016,147
1017,147
1018,147
1019,147
1020,147
1021,148
1022,148
1023,148
1024,148
1025,148
1026,148
1027,149
1028,149
1029,149
1030,149
1031,149
1032,149
1033,149
1034,149
1035,149
1036,149
1037,149
1038,149
1039,149
1040,149
1041,149
1042,149
1043,150
1044,151
1045,151
1046,151
1047,151
1048,151
1049,151
1050,151
1051,151
1052,151
1053,151
1054,151
1055,151
1056,151
1057,151
1058,151
1059,151
1060,151
1061,151
1062,151
1063,151
1064,152
1065,152
1066,153
1067,153
1068,153
1069,153
1070,153
1071,153
1072,153
1073,153
1074,154
1075,154
1076,154
1077,154
1078,154
1079,155
1080,155
1081,155
1082,155
1083,155
1084,155
1085,155
1086,155
1087,155
1088,155
1089,155
1090,155
1091,155
1092,155
1093,155
1094,155
1095,155
1096,155
1097,155
1098,155
1099,155
1100,155
1101,155
1102,155
1103,156
1104,156
1105,156
1106,156
1107,156
1108,156
1109,156
1110,156
1111,156
1112,156
1113,156
1114,157
1115,157
1116,157
1117,158
1118,158
1119,158
1120,158
1121,158
1122,158
1123,158
1124,158
1125,158
1126,159
1127,159
1128,159
1129,160
1130,160
1131,160
1132,161
1133,161
1134,161
1135,161
1136,161
1137,161
1138,161
1139,161
1140,161
1141,161
1142,161
1143,161
1144,161
1145,161
1146,161
1147,161
1148,161
1149,161
1150,161
1151,161
1152,161
1153,161
1154,161
1155,161
1156,161
1157,161
1158,162
1159,162
1160,162
1161,162
1162,162
1163,162
1164,162
1165,162
1166,162
1167,162
1168,162
1169,162
1170,163
1171,163
1172,163
1173,163
1174,164
1175,165
1176,165
1177,165
1178,165
1179,165
1180,165
1181,165
1182,166
1183,166
1184,166
1185,166
1186,166
1187,166
1188,166
1189,166
1190,166
1191,166
1192,166
1193,166
1194,166
1195,166
1196,166
1197,166
1198,166
1199,166
1200,166
1201,166
1202,166
1203,166
1204,166
1205,166
1206,166
1207,166
1208,166
1209,166
1210,166
1211,166
1212,166
1213,166
1214,166
1215,166
1216,166
1217,167
1218,168
1219,169
1220,169
1221,169
1222,169
1223,170
1224,170
1225,170
1226,170
1227,170
1228,170
1229,170
1230,170
1231,170
1232,170
1233,170
1234,170
1235,170
1236,170
1237,170
1238,170
1239,170
1240,170
1241,170
1242,170
1243,170
1244,170
1245,170
1246,170
1247,170
1248,170
1249,170
1250,170
1251,170
1252,170
1253,171
1254,172
1255,173
1256,173
1257,173
1258,173
1259,173
1260,173
1261,173
1262,173
1263,173
1264,173
1265,173
1266,174
1267,174
1268,175
1269,175
1270,176
1271,176
1272,176
1273,176
1274,176
1275,176
1276,176
1277,176
1278,176
1279,176
1280,176
1281,177
1282,177
1283,177
1284,177
1285,177
1286,177
1287,177
1288,178
1289,179
1290,179
1291,179
1292,179
1293,180
1294,181
1295,181
1296,181
1297,181
1298,181
1299,182
1300,182
1301,183
1302,183
1303,183
1304,183
1305,183
1306,183
1307,183
1308,183
1309,184
1310,184
1311,184
1312,184
1313,185
1314,185
1315,186
1316,186
1317,186
1318,186
1319,186
1320,186
1321,186
1322,186
1323,186
1324,186
1325,186
1326,186
1327,186
1328,186
1329,186
1330,186
1331,186
1332,186
1333,186
1334,186
1335,186
1336,186
1337,186
1338,186
1339,186
1340,186
1341,186
1342,187
1343,187
1344,187
1345,188
1346,188
1347,188
1348,188
1349,188
1350,188
1351,188
1352,188
1353,188
1354,188
1355,188
1356,188
1357,188
1358,188
1359,188
1360,188
1361,189
1362,189
1363,189
1364,189
1365,189
1366,189
1367,189
1368,189
1369,189
1370,189
1371,189
1372,189
1373,190
1374,190
1375,190
1376,190
1377,190
1378,190
1379,190
1380,190
1381,190
1382,190
1383,190
1384,191
1385,191
1386,191
1387,191
1388,191
1389,191
1390,191
1391,191
1392,191
1393,191
1394,192
1395,192
1396,192
1397,192
1398,192
1399,192
1400,192
1401,192
1402,193
1403,193
1404,193
1405,193
1406,193
1407,193
1408,193
1409,193
1410,193
1411,193
1412,193
1413,193
1414,193
1415,193
1416,193
1417,193
1418,193
1419,193
1420,193
1421,193
1422,194
1423,194
1424,194
1425,194
1426,194
1427,195
1428,196
1429,196
1430,196
1431,196
1432,196
1433,196
1434,196
1435,196
1436,196
1437,196
1438,196
1439,197
1440,197
1441,197
1442,197
1443,197
1444,197
1445,197
1446,197
1447,197
1448,197
1449,197
1450,197
1451,197
1452,197
1453,197
1454,197
1455,197
1456,197
1457,198
1458,198
1459,198
1460,198
1461,198
1462,198
1463,198
1464,198
1465,198
1466,198
1467,198
1468,198
1469,199
1470,199
1471,199
1472,199
1473,199
1474,199
1475,199
1476,199
1477,199
1478,199
1479,199
1480,199
1481,199
1482,199
1483,199
1484,199
1485,199
1486,200
1487,200
1488,200
1489,200
1490,200
1491,200
1492,200
1493,200
1494,200
1495,200
1496,200
1497,200
1498,200
1499,200
1500,200
1501,200
1502,200
1503,200
1504,200
1505,200
1506,201
1507,201
1508,201
1509,202
1510,202
1511,202
1512,202
1513,202
1514,202
1515,202
1516,202
1517,202
1518,202
1519,202
1520,202
1521,202
1522,202
1523,202
1524,202
1525,202
1526,202
1527,203
1528,203
1529,203
1530,203
1531,204
1532,204
1533,204
1534,204
1535,204
1536,204
1537,204
1538,204
1539,204
1540,204
1541,204
1542,205
1543,205
1544,205
1545,205
1546,205
1547,205
1548,205
1549,205
1550,205
1551,205
1552,205
1553,205
1554,205
1555,205
1556,205
1557,205
1558,205
1559,205
1560,205
1561,205
1562,205
1563,205
1564,205
1565,205
1566,205
1567,205
1568,205
1569,205
1570,205
1571,205
1572,205
1573,206
1574,206
1575,206
1576,206
1577,206
1578,206
1579,206
1580,206
1581,207
1582,207
1583,207
1584,207
1585,207
1586,207
1587,207
1588,207
1589,207
1590,207
1591,207
1592,207
1593,207
1594,207
1595,207
1596,207
1597,207
1598,207
1599,207
1600,207
1601,207
1602,207
1603,207
1604,207
1605,207
1606,207
1607,207
1608,207
1609,207
1610,207
1611,207
1612,207
1613,207
1614,207
1615,208
1616,208
1617,208
1618,208
1619,208
1620,208
1621,208
1622,208
1623,208
1624,208
1625,209
1626,209
1627,209
1628,209
1629,209
1630,209
1631,210
1632,210
1633,210
1634,211
1635,211
1636,211
1637,211
1638,211
1639,211
1640,211
1641,212
1642,212
1643,212
1644,212
1645,212
1646,212
1647,212
1648,213
1649,213
1650,213
1651,213
1652,213
1653,213
1654,213
1655,213
1656,213
1657,213
1658,213
1659,213
1660,213
1661,213
1662,213
1663,213
1664,213
1665,213
1666,213
1667,213
1668,213
1669,213
1670,213
1671,213
1672,213
1673,213
1674,213
1675,213
1676,213
1677,213
1678,213
1679,213
1680,213
1681,213
1682,213
1683,214
1684,215
1685,215
1686,215
1687,215
1688,215
1689,215
1690,215
1691,215
1692,215
1693,215
1694,215
1695,215
1696,215
1697,215
1698,216
1699,216
1700,216
1701,216
1702,216
1703,216
1704,216
1705,216
1706,216
1707,216
1708,216
1709,216
1710,216
1711,216
1712,217
1713,218
1714,218
1715,218
1716,218
1717,218
1718,218
1719,218
1720,218
1721,218
1722,218
1723,218
1724,218
1725,218
1726,218
1727,218
1728,218
1729,218
1730,218
1731,218
1732,218
1733,218
1734,218
1735,218
1736,218
1737,218
1738,218
1739,219
1740,219
1741,219
1742,219
1743,219
1744,219
1745,219
1746,219
1747,219
1748,219
1749,219
1750,219
1751,219
1752,219
1753,219
1754,219
1755,219
1756,219
1757,219
1758,219
1759,219
1760,219
1761,219
1762,219
1763,219
1764,219
1765,219
1766,220
1767,220
1768,221
1769,221
1770,222
1771,222
1772,222
1773,222
1774,222
1775,222
1776,222
1777,222
1778,222
1779,222
1780,222
1781,223
1782,223
1783,223
1784,223
1785,224
1786,224
1787,224
1788,224
1789,224
1790,224
1791,224
1792,224
1793,224
1794,224
1795,224
1796,224
1797,224
1798,224
1799,224
1800,224
1801,225
1802,225
1803,225
1804,225
1805,225
1806,225
1807,225
1808,225
1809,225
1810,225
1811,225
1812,225
1813,225
1814,225
1815,226
1816,226
1817,226
1818,226
1819,227
1820,227
1821,227
1822,227
1823,227
1824,227
1825,227
1826,227
1827,227
1828,227
1829,227
1830,228
1831,228
1832,228
1833,228
1834,228
1835,228
1836,228
1837,228
1838,228
1839,228
1840,228
1841,228
1842,228
1843,228
1844,228
1845,228
1846,228
1847,229
1848,229
1849,229
1850,229
1851,229
1852,229
1853,229
1854,229
1855,229
1856,229
1857,229
1858,229
1859,229
1860,229
1861,230
1862,231
1863,232
1864,232
1865,233
1866,233
1867,233
1868,234
1869,234
1870,234
1871,234
1872,234
1873,234
1874,234
1875,235
1876,235
1877,235
1878,235
1879,235
1880,235
1881,235
1882,235
1883,235
1884,235
1885,235
1886,235
1887,235
1888,236
1889,236
1890,236
1891,236
1892,237
1893,238
1894,238
1895,239
1896,239
1897,239
1898,239
1899,239
1900,239
1901,239
1902,239
1903,239
1904,239
1905,239
1906,239
1907,239
1908,239
1909,239
1910,239
1911,239
1912,239
1913,239
1914,239
1915,239
1916,240
1917,240
1918,240
1919,240
1920,240
1921,240
1922,240
1923,240
1924,240
1925,240
1926,240
1927,240
1928,240
1929,240
1930,241
1931,241
1932,241
1933,241
1934,241
1935,241
1936,241
1937,242
1938,242
1939,242
1940,242
1941,242
1942,242
1943,242
1944,242
1945,243
1946,243
1947,243
1948,243
1949,243
1950,243
1951,243
1952,243
1953,244
1954,244
1955,244
1956,244
1957,244
1958,244
1959,244
1960,244
1961,244
1962,244
1963,244
1964,245
1965,245
1966,245
1967,245
1968,245
1969,245
1970,245
1971,245
1972,245
1973,245
1974,246
1975,246
1976,246
1977,247
1978,247
1979,247
1980,247
1981,247
1982,247
1983,247
1984,247
1985,247
1986,247
1987,247
1988,247
1989,248
1990,248
1991,248
1992,248
1993,248
1994,248
1995,248
1996,249
1997,250
1998,250
1999,250
2000,251
2001,251
2002,252
2003,252
2004,252
2005,252
2006,253
2007,253
2008,253
2009,253
2010,254
2011,254
2012,254
2013,254
2014,254
2015,254
2016,254
2017,254
2018,254
2019,254
2020,255
2021,255
2022,255
2023,255
2024,255
2025,255
2026,255
2027,255
2028,256
2029,256
2030,256
2031,256
2032,256
2033,256
2034,256
2035,257
2036,258
2037,258
2038,258
2039,259
2040,260
2041,260
2042,260
2043,260
2044,261
2045,261
2046,261
2047,261
2048,261
2049,261
2050,261
2051,262
2052,262
2053,262
2054,262
2055,262
2056,262
2057,262
2058,262
2059,262
2060,262
2061,262
2062,262
2063,262
2064,262
2065,262
2066,262
2067,262
2068,262
2069,262
2070,262
2071,262
2072,262
2073,262
2074,262
2075,263
2076,263
2077,263
2078,263
2079,263
2080,263
2081,263
2082,263
2083,263
2084,263
2085,263
2086,263
2087,263
2088,263
2089,263
2090,264
2091,264
2092,264
2093,264
2094,264
2095,264
2096,264
2097,264
2098,264
2099,264
2100,264
2101,265
2102,265
2103,265
2104,265
2105,265
2106,265
2107,265
2108,265
2109,265
2110,265
2111,265
2112,265
2113,265
2114,265
2115,266
2116,266
2117,266
2118,266
2119,266
2120,266
2121,266
2122,266
2123,266
2124,266
2125,266
2126,266
2127,266
2128,266
2129,266
2130,266
2131,266
2132,266
2133,266
2134,266
2135,266
2136,266
2137,266
2138,266
2139,266
2140,266
2141,267
2142,267
2143,267
2144,267
2145,267
2146,267
2147,268
2148,268
2149,268
2150,268
2151,268
2152,268
2153,268
2154,268
2155,268
2156,269
2157,269
2158,269
2159,269
2160,269
2161,269
2162,269
2163,269
2164,269
2165,269
2166,269
2167,269
2168,269
2169,269
2170,269
2171,269
2172,269
2173,269
2174,269
2175,269
2176,269
2177,269
2178,269
2179,270
2180,270
2181,270
2182,270
2183,270
2184,270
2185,270
2186,270
2187,270
2188,271
2189,271
2190,271
2191,271
2192,271
2193,272
2194,272
2195,272
2196,272
2197,272
2198,272
2199,272
2200,272
2201,272
2202,273
2203,273
2204,274
2205,274
2206,274
2207,274
2208,274
2209,274
2210,274
2211,275
2212,275
2213,275
2214,275
2215,275
2216,275
2217,275
2218,275
2219,276
2220,277
2221,277
2222,277
2223,278
2224,278
2225,278
2226,278
2227,278
2228,278
2229,278
2230,279
2231,279
2232,279
2233,279
2234,280
2235,280
2236,280
2237,280
2238,280
2239,280
2240,280
2241,280
2242,280
2243,280
2244,280
2245,280
2246,280
